"Welche drei der folgenden Kriterien sind Teil der Definition von Usability?","2 Grundlegende Begriffe und Konzepte","A Barrierefreiheit | B Effizienz | C Vollständigkeit | D Effektivität | E Zufriedenstellung | F Geschwindigkeit","0 1 0 1 1 0","",""
"Welche drei der folgenden Aussagen sind korrekt in Bezug auf den Begriff »Beobachtung« im Kontext der menschzentrierten Gestaltung?","5 Den Nutzungskontext verstehen und festlegen","A Das Ziel einer Beobachtung ist das Sammeln von Informationen über den Nutzungskontext. | B Bei einer Beobachtung wird immer die Benutzung des zu betrachtenden interaktiven Systems beobachtet. | C Bei einer Beobachtung darf der Beobachter auf keinen Fall in irgendeiner Form aktiv werden, er darf nur still beobachten. | D Der Fokus einer Beobachtung liegt auf der Erledigung von Aufgaben durch einen Benutzer. | E Eine Beobachtung kann auch dann sinnvoll sein, wenn das infrage kommende interaktive System nicht verfügbar ist oder nicht benutzt wird. | F Eine Beobachtung sollte je nach Fragestellung in einem Usability-Labor durchgeführt werden, um störende Einflüsse zu vermeiden.","1 0 0 1 1 0","",""
"Bianca ist Besitzerin und Managerin von mehreren Pizzerien, die jeweils auch einen Lieferservice anbieten. Vor einiger Zeit hat sie ein IT-System angeschafft, in dem alle Bestellungen von Kunden erfasst und die Lieferungen gesteuert werden. Leider gab es kein Kaufprodukt, das Bianca zufriedenstellen konnte, sodass sie mühsam alle Nutzungsanforderungen spezifiziert hat und ein IT-System maßgeschneidert anfertigen ließ. Nun läuft das System perfekt und alle Benutzer sind hochzufrieden damit. Welche eine der folgenden Aussagen beschreibt Bianca am besten?","5 Den Nutzungskontext verstehen und festlegen","A Bianca ist eine primäre Benutzerin des IT-Systems. | B Bianca ist eine sekundäre Benutzerin des IT-Systems. | C Bianca ist eine indirekte Benutzerin des IT-Systems. | D Bianca ist eine Nachfolgebenutzerin des IT-Systems. | E Bianca ist eine Interessenvertreterin für das IT-System. | F Bianca ist die Auftraggeberin für das IT-System.","0 0 0 0 1 0","",""
"Welche zwei der folgenden Punkte beschreiben Situationen, in denen die Durchführung einer Fokusgruppe sinnvoll sein kann?","5 Den Nutzungskontext verstehen und festlegen","A Es ist unklar, wer genau die Interessenvertreter für ein zu entwickelndes interaktives System sind. | B Es ist unklar, welche Grundhaltung und welche Befürchtungen die Interessenvertreter gegenüber der Entwicklung des interaktiven Systems haben. | C Die Usability einer Gestaltungslösung soll evaluiert werden. | D Erkenntnisse aus Beobachtungen oder Interviews sollen bezüglich ihrer Vollständigkeit und Richtigkeit bewertet werden. | E Interessenvertreter sollen gemeinsam entscheiden, ob ihre Anforderungen ausreichend gut umgesetzt worden sind. | F Die Nutzungsanforderungen an das zu entwickelnde interaktive System sollen ermittelt werden.","0 1 0 1 0 0","",""
"Welche zwei der folgenden Aktivitäten sind NICHT dazu geeignet, den Nutzungskontext für ein interaktives System zu verstehen?","5 Den Nutzungskontext verstehen und festlegen","A Existierende interaktive Systeme analysieren, die mit dem zu gestaltenden System vergleichbar sind | B Personen interviewen, die indirekte Benutzer des interaktiven Systems sind | C Eine Fokusgruppe mit Interessenvertretern des zu gestaltenden interaktiven Systems durchführen | D Eine Persona erstellen für eine betroffene Benutzergruppe | E Das Verhalten von Benutzern während der Durchführung von Aufgaben beobachten, die durch das zu gestaltende interaktive System unterstützt werden sollen | F Lösungsideen für das zu gestaltende interaktive System mit Benutzern diskutieren","0 0 0 1 0 1","",""
"Welche drei der folgenden Eigenschaften sind NICHT ausschlaggebend für eine korrekte User Journey Map?","5 Den Nutzungskontext verstehen und festlegen","A Eine User Journey Map umfasst alle Touchpoints, die für die User Experience des interaktiven Systems relevant sind. | B Eine User Journey Map ist eine Beschreibung von Touchpoints der Benutzer mit dem interaktiven System in Form eines Diagramms. | C User Journey Maps beschreiben entweder aktuell existierende Touchpoints des Benutzers mit dem interaktiven System oder geplante Touchpoints für das zukünftige interaktive System. | D Eine User Journey Map ist die Beschreibung der Touchpoints eines bestimmten Benutzers mit dem interaktiven System. | E Eine User Journey Map ist so gestaltet, dass die gesamte User Experience der Benutzer über alle relevanten Touchpoints hinweg greifbar wird. | F In einer User Journey Map muss pro Touchpoint angegeben werden, was die Aufgaben der Benutzer an diesem Touchpoint sind und mit welchen interaktiven Systemen die Benutzer hier interagieren.","0 1 0 1 0 1","",""
"Welche drei der folgenden Punkte sind Hauptgründe, warum man in Interviews möglichst immer offene, neutrale Fragen stellen soll?","5 Den Nutzungskontext verstehen und festlegen","A Bei offenen Fragen enthalten die Antworten mehr Informationen, was den Ertrag des Interviews steigert. | B Offene Fragen sind in der Regel leichter zu verstehen als geschlossene Fragen. | C Offene Fragen motivieren die interviewte Person eher dazu, ins Reden zu kommen und dadurch eine eventuelle Schüchternheit zu überwinden. | D Neutrale Fragen sind in der Regel leichter zu verstehen. | E Neutrale Fragen geben keinen Hinweis auf erwünschte Antworten und beeinflussen deshalb die interviewte Person in ihrer Antwort nicht. | F Neutrale Fragen sind eher relevant für die interviewte Person und führen deshalb eher dazu, dass sie auch beantwortet werden können.","1 0 1 0 1 0","",""
"Welcher eine der folgenden Punkte ist NICHT eine Komponente eines Nutzungskontextes?","5 Den Nutzungskontext verstehen und festlegen","A Benutzer | B Ziele der Benutzer | C Aufgaben, die die Benutzer durchführen | D Gesetzliche Vorgaben, die bei der Durchführung der Aufgaben zu beachten sind | E Ressourcen, die bei der Benutzung genutzt werden | F Umgebungen, in denen die Benutzung erfolgt","0 0 0 1 0 0","",""
"Welche zwei der folgenden Punkte sind Ausschnitte von validen IstSzenarien für die Website eines Pizza-Lieferservice?","5 Den Nutzungskontext verstehen und festlegen","A Thomas bestellt mindestens zweimal pro Woche eine selbst zusammengestellte Pizza bei seinem bevorzugten Pizza-Lieferservice. Hier kann er die Pizza dann 15 Minuten später abholen. Das geht schneller, als sich die Pizza liefern zu lassen. Seine Kombinationen von Zutaten sind im Pizzamenü der Pizzeria nicht als Standardpizza enthalten. Manchmal kommt er beim Anruf durcheinander und vergisst eine Zutat zu nennen, die er eigentlich haben wollte. Das ärgert ihn dann, wenn er später zu Hause die Pizza genießen will. | B 1. Pizza-Art auswählen (italienisch oder amerikanisch) 2. Pizzagröße auswählen 3. Auswählen, ob die Pizza hälftig belegt werden soll oder die ganze Pizza gleich 4. Zutaten auswählen (entweder pro Hälfte oder für die ganze Pizza) 5. Zusammengestellte Pizza in den Warenkorb legen | C Thomas bestellt oft eine selbst zusammengestellte Pizza beim PizzaLieferservice. Die Website, die er dafür nutzt, ist für ihn leicht zu bedienen, auch wenn er die visuelle Gestaltung ziemlich hässlich findet. Einzig bei der Auswahl der Pizza-Art macht er oft einen Fehler. Dass er sich einloggen kann und seine persönlichen Daten wie Adresse und Zahlweise dann schon voreingestellt sind, findet Thomas sehr praktisch. | D Thomas bestellt oft eine selbst zusammengestellte Pizza beim PizzaLieferservice. Manchmal benutzt er Lieferant A, manchmal Lieferant B. Bei Lieferant A ruft er immer an und muss dann alle Details durchgeben, wobei oft Missverständnisse entstehen, die das Gespräch in die Länge ziehen und es nervig werden lassen. Bei Lieferant B nutzt er gerne die Website zum Bestellen, weil es dann keine Missverständnisse gibt und er in Ruhe aussuchen kann, ohne das Gefühl zu haben, jemandem die Zeit zu stehlen. | E Zunächst muss man die Pizza-Art (italienisch oder amerikanisch) und die Pizzagröße auswählen. Dann gibt es die Möglichkeit, auszuwählen, ob die Pizza hälftig belegt werden soll. Anschließend wählt man die Zutaten aus (pro Hälfte oder für die ganze Pizza) und legt die zusammengestellte Pizza in den Warenkorb. | F Die Website des Pizza-Lieferservice ist für das Bestellen einer selbst zusammengestellten Pizza als ein großes Formular aufgebaut. Das Formular bietet die Möglichkeit, anzugeben, ob die Pizza hälftig belegt werden soll. Je nach Auswahl an dieser Stelle muss anschließend bei jeder ausgewählten Zutat angegeben werden, ob diese auf Hälfte 1, Hälfte 2 oder auf beide Hälften kommen soll. Abschließend wird der Preis für die Pizza angezeigt und der Benutzer kann sie in den Warenkorb legen.","1 0 0 1 0 0","",""
"Welcher eine der folgenden Punkte beschreibt am besten den Zweck von Personas?","5 Den Nutzungskontext verstehen und festlegen","A Personas dienen der Spezifikation von Nutzungsanforderungen. | B Personas werden vom Marketing und vom Management genutzt, um die Wichtigkeit von Marktanforderungen und organisatorischen Anforderungen zu verdeutlichen. | C Personas sind ein wichtiges Hilfsmittel zur Formulierung von IstSzenarien und User Journey Maps. | D Personas werden genutzt, um geeignete Teilnehmer für Usability-Tests zu rekrutieren. | E Personas erleichtern es Interessenvertretern, zu verstehen, wer die Benutzer sind, und über ihre Merkmale und Aufgaben zu kommunizieren. | F Personas dienen der Identifikation von Erfordernissen der Benutzer, um daraus Nutzungsanforderungen abzuleiten.","0 0 0 0 1 0","",""
"Welche zwei der folgenden Eigenschaften definieren ein kontextuelles Interview im Kontrast zu einem allgemeinen Interview?","5 Den Nutzungskontext verstehen und festlegen","A Das Interview fokussiert sowohl auf den Nutzungskontext als auch auf das zu entwickelnde interaktive System selbst. | B Das Interview findet dort statt, wo der Benutzer normalerweise Aufgaben im Zusammenhang mit dem betrachteten interaktiven System ausführt. | C Die interviewte Person soll sich in den Kontext der Benutzung des interaktiven Systems versetzen, um die Fragen des Interviewers besser beantworten zu können. | D Das Interview fokussiert ausschließlich auf den Nutzungskontext des interviewten Benutzers. | E Das Interview wird immer im Kontext einer ganzen Interviewreihe durchgeführt. | F Das Interview wird mit mehreren Benutzern durchgeführt, damit diese sich im Kontext gegenseitig anregen und dadurch mehr und bessere Ergebnisse erzielt werden.","0 1 0 1 0 0","",""
"Eine Pizzeria mit Lieferservice möchte ein IT-System zur Erfassung und Verwaltung aller Bestellungen von Kunden anschaffen, egal ob diese via Website, per Telefon oder in der Pizzeria aufgegeben werden. Sie führen eine Reihe von kontextuellen Interviews durch, um Informationen über den Nutzungskontext der Kunden zu sammeln. Welche zwei der folgenden Aussagen des Interviewers während eines Interviews folgen dem Meister-Schüler-Modell?","5 Den Nutzungskontext verstehen und festlegen","A Interviewte Person: »Ich finde es schön, wenn ich beim Lieferservice anrufe und die schon an der Nummer erkennen, dass ich es bin.« Interviewer: »Das ist interessant. Warum finden Sie das schön?« | B Interviewte Person: »Wenn ich Pizza bestelle, möchte ich oft keine Standardpizza, sondern stelle mir den Belag selbst zusammen.« Interviewer: »Das ist doch bestimmt sehr umständlich, oder? Wäre es nicht hilfreich, wenn der Lieferservice eine ausreichend große Auswahl an Pizzavarianten anbietet?« | C Interviewte Person: »Und wenn die Pizza geliefert wird, ist sie meistens schon kalt.« Interviewer: »Das ist interessant, aber erst mal würde ich gerne wissen, wie lange die Lieferzeit denn maximal sein darf.« | D Interviewte Person: »Meistens rufe ich, so etwa eine Stunde bevor ich essen möchte, beim Lieferservice an, damit …« Interviewer fragt dazwischen: »Wie oft bestellen Sie eigentlich bei einem Lieferservice?« | E Interviewte Person: »Besonders wichtig ist mir, dass ich Mozzarella und Rucola als Zutat bestellen kann.« Interviewer: »Was hatten Sie auf den letzten drei selbst zusammengestellten Pizzen als Belag drauf?« | F Interviewte Person: »Wenn ich länger als 45 Minuten auf die Lieferung warten muss, ist mir das zu lang.« Interviewer: »Wirklich? Die meisten Lieferservices in der Umgebung schaffen es ja nicht mal, innerhalb von 60 Minuten zu liefern.«","1 0 0 0 1 0","",""
"Welche eine der folgenden Methoden ist NICHT geeignet, um etwas über den Nutzungskontext eines Geldautomaten zu erfahren?","5 Den Nutzungskontext verstehen und festlegen","A Bankangestellte befragen | B Benutzer eines existierenden Geldautomaten befragen | C Benutzer während der Bedienung eines existierenden Geldautomaten beobachten | D Usability-Tests mit Geldautomaten von Wettbewerbern durchführen | E Usability-Tests mit einem Prototyp eines neuen Geldautomaten durchführen | F Den neuen Geldautomaten den Bankkunden mit Hilfe eines Videos demonstrieren","0 0 0 0 0 1","",""
"Welche zwei der folgenden Aussagen sind Aufgaben?","5 Den Nutzungskontext verstehen und festlegen","A Eine Reise buchen | B Urlaubsantrag ausfüllen | C Dienstreise umbuchen | D Diensthandy verloren | E Dienstreiseabrechnung | F Dienstreiserichtlinie beachten","1 0 1 0 0 0","",""
"Welcher eine Ausdruck charakterisiert die folgende Beschreibung richtig? Elena Montgomery, Human Resources Coordinator, Amino Pharmaceuticals Elena ist 35 Jahre alt. Sie hat keine Kinder und ist unverheiratet, aber hat seit 4 Jahren einen Freund. Ihre Lieblingsbeschäftigungen sind Tango tanzen und herrliche Tapas zubereiten. Sie spricht annehmbar Spanisch. Elena verbringt den größten Teil ihres Tags mit der Bearbeitung aller Formulare, die nötig sind, um Mitarbeiter in der F&E-Abteilung von Amino Pharmaceuticals anzustellen, zu versetzen und zu kündigen. Wenn etwas unvollständig oder unklar ist, nimmt sie sich die Zeit, die Antwort herauszufinden. Sie ist eine Expertin für alle nötigen Formulare und Verfahren. Elenas Ziele: Aufstieg in HR; Exzellenz durch Genauigkeit; helfen; nicht in Rückstand geraten.","5 Den Nutzungskontext verstehen und festlegen","A Aufgabenmodell | B Persona | C Prototyp | D Ist-Szenario | E Benutzergruppenprofil | F Erfordernis","0 1 0 0 0 0","",""
"Welche eine der folgenden Aussagen beschreibt am genauesten, was eine Benutzergruppe ist?","5 Den Nutzungskontext verstehen und festlegen","A Eine Gruppe von Benutzern, von denen jeder das interaktive System auf die gleiche Weise verwendet | B Eine Gruppe von Benutzern mit gleichen oder ähnlichen persönlichen Merkmalen und den gleichen Zielen bezogen auf das interaktive System | C Eine Gruppe von Benutzern, die das interaktive System in gleichen Nutzungskontext verwenden | D Eine Sammlung von Personas mit gleichen oder ähnlichen persönlichen Merkmalen und Nutzungskontexten bezogen auf das interaktive System | E Eine Gruppe von Benutzern mit gleichen oder ähnlichen persönlichen Merkmalen und Nutzungskontexten bezogen auf das interaktive System | F Eine Gruppe von Benutzern, die in einer Fokusgruppe oder einem Usability-Test gemeinsam das interaktive System diskutieren bzw. testen","0 0 0 0 1 0","",""
"Welche drei der folgenden Punkte sind Teilaufgaben und keine Aufgaben?","5 Den Nutzungskontext verstehen und festlegen","A Dienstreise buchen | B Dienstreise umbuchen | C Dienstreiseantrag ausfüllen | D Dienstreiseantrag zur Genehmigung an den Vorgesetzten schicken | E Dienstreise stornieren | F Kosten der geplanten Dienstreise abschätzen","0 0 1 1 0 1","",""
"Welche zwei der folgenden Punkte sind KEINE Ressourcen, die von einem Koch beim Kochen in der Küche verwendet werden?","5 Den Nutzungskontext verstehen und festlegen","A Die Arbeitsfläche der Küche | B Die Pfanne | C Das Rezept | D Der Strom zum Betreiben des Herdes | E Salz und Pfeffer | F Weingläser","1 0 0 0 0 1","",""
"Welche eine der folgenden Aussagen beschreibt den Zweck einer Fokusgruppe am besten?","5 Den Nutzungskontext verstehen und festlegen","A Fokussierte Informationen von einer Gruppe von Benutzern in einer Usability-Testsitzung sammeln | B Kontextuelle Informationen über die Erfordernisse der Benutzer sammeln, ohne deren Arbeit zu beeinträchtigen | C Kontextuelle Informationen über die Erfordernisse der Benutzer sammeln, indem man mit Benutzern spricht und dabei den Fokus auf eine besondere Benutzergruppe legt | D Ideen für fokussierte Personas und Szenarien durch Befragung von Mitgliedern einer Benutzergruppe sammeln | E Ein tieferes Verständnis ausgewählter Themen und wichtiger Fragen des Nutzungskontexts aus verschiedenen Blickwinkeln gewinnen | F Ein interaktives System evaluieren","0 0 0 0 1 0","",""
"Welche drei der folgenden Beschreibungen sind KEINE Aufgaben?","5 Den Nutzungskontext verstehen und festlegen","A Eine Hotelreservierung stornieren | B Urlaub nehmen | C Diensthandy und Mobilfunktarif bestellen | D Die Anzahl der angekommenen Waren prüfen | E Rechnung zur Lieferung auf Richtigkeit geprüft | F Warenlieferung","0 0 0 1 1 1","",""
"Welche zwei der folgenden Aussagen beschreiben am besten, warum es wichtig ist, zwischen Aufgaben und Teilaufgaben zu unterscheiden?","5 Den Nutzungskontext verstehen und festlegen","A Aufgaben sind für primäre Benutzer und Teilaufgaben sind für sekundäre und indirekte Benutzer. | B Dem Meister-Schüler-Modell zufolge sind Aufgaben für den Meister und Teilaufgaben für den Schüler. | C Aufgaben können zur Erstellung von Usability-Testaufgaben verwendet werden; Teilaufgaben sollten als Grundlage für Usability-Testaufgaben vermieden werden, da sie für sich genommen keinen Wert besitzen. | D Aufgaben bilden die Grundlage für Nutzungsszenarien, während Teilaufgaben die Aktionen des Benutzers am interaktiven System darstellen. | E Aufgaben werden verwendet, um Erfordernisse zu identifizieren. Sowohl Aufgaben als auch Teilaufgaben werden zur Ableitung von Nutzungsanforderungen verwendet. | F Beim Festlegen der Interaktion zwischen Benutzer und interaktivem System im Rahmen der Erledigung einer Aufgabe müssen alle Teilaufgaben, die für die Erledigung dieser Aufgabe erforderlich sind, berücksichtigt werden.","0 0 1 0 0 1","",""
"Welche zwei der folgenden Aussagen sind gültige Ist-Szenarien für eine bestehende Autovermietungs-Website?","5 Den Nutzungskontext verstehen und festlegen","A Rita besucht die Autovermietungs-Website, um einen Kleinwagen zu mieten. Sie vergleicht die Autos, die an ihren Reisedaten verfügbar sind, und wählt das Auto aus, das ihr am besten gefällt. Sie reserviert das Auto für die Abholung am Tag vor ihrer Reise. | B Rita besucht die Autovermietungs-Website, um einen Kleinwagen zu mieten. Ihr ist nicht klar, ob die Autos, die ihr gefallen, an ihren Reisedaten verfügbar sind. Rita sucht nach einer Telefonnummer, um mit jemandem von der Autovermietung zu sprechen, aber sie kann nur einen Chat-Dienst finden, der momentan offline ist. | C 1. Ermitteln Sie die gewünschte Abfahrtszeit. 2. Ermitteln Sie die Kosten für jedes verfügbare Fahrzeug. 3. Wählen Sie ein Fahrzeug (basierend auf Kosten, Größe, persönlichen Vorlieben). 4. Reservieren Sie das Auto. 5. Holen Sie das Auto ab. | D Bei der Anmietung eines Autos müssen die Kunden wissen, welche Fahrzeuge zu den von ihnen ausgewählten Terminen verfügbar sind, damit sie eine gezielte Entscheidung treffen können. | E Bei der Anmietung eines Autos müssen die Kunden das gewünschte Datum auswählen können, damit die Website die verfügbaren Fahrzeuge anzeigen kann. | F Rita kann Auto fahren, besitzt aber kein Auto. Rita besucht am Wochenende gelegentlich ihren Bruder in Lübeck. Diese Reise mit dem Zug zu machen, ist ihr zu teuer und die Busfahrt dauert ihr zu lange. Daher mietet sie normalerweise ein Auto.","1 1 0 0 0 0","",""
"Welche zwei der folgenden Situationen sind gut geeignet, um ein kontextuelles Interview durchzuführen bezüglich des Geldabhebens bei einer Bank?","5 Den Nutzungskontext verstehen und festlegen","A Ein ruhiger Besprechungsraum, wo ein Geldautomat aufgestellt ist | B Ein ruhiger Besprechungsraum, wo der Prototyp eines infrage kommenden neuen Geldautomaten aufgestellt ist | C In der Bank an der Kasse, wo der Kunde Bargeld erhält, wenn er den Geldautomaten nicht verwendet | D Im Vorraum der Bank, wo der Geldautomat steht | E Bei der interviewten Person zu Hause, in ihrer vertrauten Umgebung | F Ein ruhiger Besprechungsraum, es gibt darüber hinaus keine weiteren Anforderungen an den Ort eines kontextuellen Interviews","0 0 1 1 0 0","",""
"Welcher eine der folgenden Punkte beschreibt am besten den Zweck einer User Journey Map?","5 Den Nutzungskontext verstehen und festlegen","A Eine User Journey Map dient der Spezifikation von Nutzungsanforderungen. | B Eine User Journey Map wird vom Marketing und vom Management genutzt, um die Wichtigkeit von Marktanforderungen und organisatorischen Anforderungen zu verdeutlichen. | C Eine User Journey Map erleichtert es Interessenvertretern, zu verstehen, welche Touchpoints es für einen Benutzer in Bezug auf ein interaktives System gibt und wie diese die User Experience beeinflussen. | D Eine User Journey Map ist ein Hilfsmittel zur Verdeutlichung von IstSzenarien. | E Eine User Journey Map wird für die Vorbereitung von Interviews benutzt, sodass keine relevanten Themen vergessen werden. | F Eine User Journey Map dient der Identifikation aller interaktiven Systeme, die betrachtet und eventuell neu gestaltet werden müssen, um die User Experience umfassend verbessern zu können.","0 0 1 0 0 0","",""
"Thomas arbeitet in einer Bank. Eine seiner Aufgaben ist es, die Bargeldmenge im Geldautomaten zu kontrollieren und ggf. bis zum erforderlichen Stand aufzufüllen. Das macht er jeden Morgen und freitagnachmittags in Vorbereitung auf das Wochenende. Welche eine der folgenden Aussagen beschreibt Thomas am besten?","5 Den Nutzungskontext verstehen und festlegen","A Thomas ist kein Benutzer des Geldautomaten, da er kein Geld abhebt. | B Thomas ist primärer Benutzer des Geldautomaten. | C Thomas ist sekundärer Benutzer des Geldautomaten. | D Thomas ist ein indirekter Benutzer des Geldautomaten. | E Thomas ist ein Interessenvertreter für den Geldautomaten, aber kein Benutzer. | F Thomas ist Benutzer des Geldautomaten, aber kein Interessenvertreter.","0 0 1 0 0 0","",""
"Welche drei der folgenden Aussagen sind korrekt in Bezug auf die Begriffe »Aufgabe« und »Teilaufgabe«?","5 Den Nutzungskontext verstehen und festlegen","A Teilaufgaben sind Aufgaben, mit denen kleinere Ziele erreicht werden als bei (Primär) Aufgaben. | B Teilaufgaben können delegiert werden, Aufgaben nicht. | C Teilaufgaben sind Aktivitäten, die dazu beitragen, ein bestimmtes Ziel zu erreichen. | D Aufgaben sind die Gesamtheit der Bedienfunktionen eines interaktiven Systems. | E Durch Erledigung einer Teilaufgabe allein kann man noch kein Ziel erreichen. | F Teilaufgaben sind als Usability-Testaufgaben ungeeignet.","0 0 1 0 1 1","",""
"Welche zwei der folgenden Punkte beschreiben korrekt den Zweck eines Interview-Leitfadens?","5 Den Nutzungskontext verstehen und festlegen","A Sicherstellen, dass keine wichtigen Fragen vergessen werden | B Während des Interviews nicht den Fokus verlieren, worum es in dem Interview gehen soll | C Die Formulierung der Fragen immer gleich halten, um eine Vergleichbarkeit aller Interviews in einer Interviewreihe zu erreichen | D Die Reihenfolge der Fragen immer gleich halten, um eine Vergleichbarkeit aller Interviews in einer Interviewreihe zu erreichen | E Sicherstellen, dass das Meister-Schüler-Modell immer korrekt berücksichtigt wird | F Sicherstellen, dass nur offene und neutrale Fragen gestellt werden","1 1 0 0 0 0","",""
"Ein Kollege plant Interviews mit Benutzern eines Restaurantbewertungssystems. Sein Interview-Leitfaden enthält unter anderem die Frage: Wie wählen Sie ein Restaurant aus? Welche zwei der folgenden Begriffe charakterisieren diese Interviewfrage am besten?","5 Den Nutzungskontext verstehen und festlegen","A Geschlossen | B Formativ | C Suggestiv | D Neutral | E Offen | F Summativ","0 0 0 1 1 0","",""
"Welche drei der folgenden Punkte sind Beobachtungen, die sich im Kontext der Benutzung einer Verkehrsampel auf die Umgebung beziehen?","5 Den Nutzungskontext verstehen und festlegen","A Verkehrsampeln stehen oft, aber nicht immer, an Straßenkreuzungen. | B Verkehrsampeln werden von Kraftwagenfahrern, Motorradfahrern, Fahrradfahrern sowie von Fußgängern und Rollstuhlfahrern benutzt. | C Der Knopf an einer Verkehrsampel wird von Fußgängern oft mehrfach gedrückt. | D Je nach Sonnenstand ist die aufleuchtende Farbe der Verkehrsampel schwer zu erkennen. | E Ein schreiendes Kind im Kinderwagen lenkt die Mutter ab, wodurch sie eventuell nicht mitbekommt, dass die Fußgängerampel bereits auf Grün gesprungen ist. | F Die meisten Kraftwagenfahrer geben nicht Gas, wenn die Verkehrsampel von Grün auf Gelb springt, sondern bremsen ab.","1 0 0 1 1 0","",""
"Emilio ist Auslieferer für Pizzen eines Pizzaservice. Der Pizzaservice hat ein IT-System, in dem Bestellungen von Kunden erfasst werden und Lieferscheine ausgedruckt werden. Diese Lieferscheine benutzt Emilio dann, um die bestellte Ware auszuliefern. Welche eine der folgenden Aussagen beschreibt Emilio am besten?","5 Den Nutzungskontext verstehen und festlegen","A Emilio ist kein Benutzer des IT-Systems, da er nicht damit interagiert. | B Emilio ist ein primärer Benutzer des IT-Systems. | C Emilio ist ein sekundärer Benutzer des IT-Systems. | D Emilio ist ein indirekter Benutzer des IT-Systems. | E Emilio ist ein Interessenvertreter für das IT-System, aber kein Benutzer. | F Emilio ist ein Nachfolgebenutzer des IT-Systems.","0 0 0 1 0 0","",""
"Welche zwei der folgenden Aussagen sind Aufgaben?","5 Den Nutzungskontext verstehen und festlegen","A Ein Auto mieten | B Sich auf der Website einer Autoverleihfirma registrieren | C Eine Reservierung stornieren | D Versicherungsbedingungen beachten | E Den Wagentyp für eine Automiete auswählen | F Den täglichen Mietpreis für ein Navigationssystem ermitteln","1 0 1 0 0 0","",""
"Welche drei der folgenden Richtlinien sind wichtig für ein erfolgreiches Interview zur Nutzungskontextanalyse mit einem Benutzer?","5 Den Nutzungskontext verstehen und festlegen","A Das Interview sollte im Nutzungskontext erfolgen. | B Das Interview sollte an einem neutralen Ort stattfinden. | C Der Interviewer ist der Meister – der Benutzer ist der Schüler. | D Der Benutzer ist der Meister – der Interviewer ist der Schüler. | E Stellen Sie neutrale Fragen. | F Stellen Sie geschlossene Fragen.","1 0 0 1 1 0","",""
"Welche eine der folgenden Aussagen beschreibt am besten, was ein Aufgabenmodell ist?","5 Den Nutzungskontext verstehen und festlegen","A Eine Auflistung der Aktivitäten innerhalb einer Aufgabe, die ausgeführt werden müssen, um die Ziele des Benutzers zu erreichen. | B Eine Beschreibung der Teilaufgaben, die ein Benutzer während einer Beobachtung durchgeführt hat, um ein bestimmtes Ziel zu erreichen. | C Eine strukturierte Auflistung aller Aufgaben, die Benutzer mit dem interaktiven System durchführen können sollen. | D Eine strukturierte Auflistung aller Aufgaben, die ein bestimmter Benutzer während einer Beobachtung mit dem interaktiven System durchgeführt hat. | E Eine modellhafte Beschreibung der Interaktion des Benutzers mit dem interaktiven System, durch die er ein bestimmtes Ziel erreicht. | F Eine Beschreibung der Vorbedingung und des zu erreichenden Zieles für eine Aufgabe.","1 0 0 0 0 0","",""
"Welche drei der folgenden Punkte sind Arten von Umgebungen, die im Rahmen der Betrachtung des Nutzungskontexts relevant sind?","5 Den Nutzungskontext verstehen und festlegen","A Physische Umgebung | B Soziale Umgebung | C Historische / geschichtliche Umgebung | D Technische Umgebung | E Politische Umgebung | F Emotional-psychologische Umgebung","1 1 0 1 0 0","",""
"Welche zwei der folgenden Dinge werden NICHT bei der Erhebung des Nutzungskontextes identifiziert, um sie für die weitere menschzentrierte Gestaltung verwenden zu können?","5 Den Nutzungskontext verstehen und festlegen","A Ziele der Benutzer | B Aufgaben der Benutzer | C Arbeitsmittel, die Benutzer bei der Erledigung von Aufgaben verwenden | D Nutzungsanforderungen | E Beschreibung der physischen Umgebung, in der die Benutzer sich befinden | F Gestaltungslösungen, die sich Benutzer wünschen","0 0 0 1 0 1","",""
"Welche drei der folgenden Fragestellungen sind geeignet, um sie in einem kontextuellen Interview mit einem Benutzer zu besprechen bezüglich der Benutzung eines Geldautomaten einer Bank?","5 Den Nutzungskontext verstehen und festlegen","A Welche Anforderungen hat der Benutzer an einen Geldautomaten? | B Was für verschiedene Orte gibt es, an denen der Benutzer einen Geldautomaten benutzt? | C Welche Ziele hat der Benutzer genau, wenn er einen Geldautomaten benutzt? | D Welche Anmerkungen möchte der Benutzer machen bezüglich eines präsentierten Prototyps eines neuen Geldautomaten? | E Welche Erwartungen hat der Benutzer gegenüber der Bank und seinen Finanzprodukten? | F Welche Aufgaben hat der Benutzer, die mit einem Geldautomaten in Zusammenhang stehen könnten?","0 1 1 0 0 1","",""
